Фильмы,Категория,Дата,Жанр,Страна,В главной роли,Режиссер,Рейтинг на ivi,Постер
Список Шиндлера,Фильмы,1993,"['Драмы', 'Биография', 'Исторические']",США,"['Лиам Нисон', 'Бен Кингсли', 'Рэйф Файнс']",Стивен Спилберг,"9,4",https://thumbs.dfs.ivi.ru/storage28/contents/7/6/6c472bebe05503ef1676d0b5cbd7de.jpg
Собачья жизнь 2,Фильмы,2019,"['Семейные', 'Комедии', 'Приключения']",США,"['Джош Гад', 'Кэтрин Прескотт', 'Деннис Куэйд']",Гейл Манкусо,"9,3",https://thumbs.dfs.ivi.ru/storage33/contents/a/4/d26df7d6dbc7737577873c0bab61ac.jpg
Зеленая миля,Фильмы,1999,"['Фэнтези', 'Драмы', 'Зарубежные']",США,"['Том Хэнкс', 'Дэвид Морс', 'Майкл Кларк Дункан']",Фрэнк Дарабонт,"9,3",https://thumbs.dfs.ivi.ru/storage39/contents/2/0/587a8d07dbdbfd912e60950c69a90e.jpg
Хоббит: Битва пяти воинств (расширенная версия),Фильмы,2014,"['Фэнтези', 'Приключения', 'Зарубежные']",Новая Зеландия,"['Мартин Фриман', 'Иэн МакКеллен', 'Ричард Армитедж']",Питер Джексон,"9,3",https://thumbs.dfs.ivi.ru/storage4/contents/5/8/8a82679f4235b7b9a1d68114491a1d.jpg
Последний самурай,Фильмы,2003,"['Боевики', 'Драмы', 'Военные']",США,"['Кен Ватанабе', 'Том Круз', 'Коюки']",Эдвард Цвик,"9,3",https://thumbs.dfs.ivi.ru/storage4/contents/c/4/d4fb3e6e9cad7cecc96e55935e6c52.jpg
Титаник,Фильмы,1997,"['Катастрофы', 'Драмы', 'Мелодрамы']",США,"['Леонардо ДиКаприо', 'Кейт Уинслет', 'Билли Зейн']",Джеймс Кэмерон,"9,3",https://thumbs.dfs.ivi.ru/storage9/contents/4/4/14618eefadeb5769db2a3c7b10394a.jpg
Побег из Шоушенка,Фильмы,1994,"['Драмы', 'Зарубежные']",США,"['Тим Роббинс', 'Морган Фриман', 'Боб Гантон']",Фрэнк Дарабонт,"9,2",https://thumbs.dfs.ivi.ru/storage4/contents/e/e/40b87f0f822c08d715ce2f1eddfadd.jpg
[4k] Форрест Гамп,Фильмы,1994,"['Драмы', 'Комедии', 'Зарубежные']",США,"['Том Хэнкс', 'Робин Райт', 'Гэри Синиз']",Роберт Земекис,"9,2",https://thumbs.dfs.ivi.ru/storage31/contents/f/3/e29d02bc3b0485a592d68e71b03292.jpg
Невероятный мир глазами Энцо,Фильмы,2019,"['Драмы', 'Мелодрамы', 'Комедии']",США,"['Майло Вентимилья', 'Аманда Сайфред', 'Кэти Бейкер']",Саймон Кёртис,"9,2",https://thumbs.dfs.ivi.ru/storage5/contents/5/b/f5360b8898baef8ca567fda21ee0f0.jpg
Русская пятерка,Фильмы,2018,"['Документальные', 'Спорт', 'Зарубежные']",США,"['Владимир Константинов', 'Вячеслав Фетисов', 'Игорь Ларионов']",Джошуа Риль,"9,2",https://thumbs.dfs.ivi.ru/storage8/contents/5/9/4b5cb0bdd9337c4332b752a65cec73.jpg
